Time	CellId	RNTI	BWPId	SINR(dB)
3.14507	1	1	0	34.1984
3.15007	1	1	0	34.1966
3.15507	1	1	0	34.1949
3.16007	1	1	0	34.1932
3.16507	1	1	0	34.1915
3.17007	1	1	0	34.1898
3.17507	1	1	0	34.188
3.18007	1	1	0	34.1863
3.18507	1	1	0	34.1846
3.18607	1	1	0	34.1842
3.19007	1	1	0	34.1829
3.19507	1	1	0	34.1811
3.20007	1	1	0	34.1794
3.20507	1	1	0	34.1777
3.21007	1	1	0	34.176
3.21507	1	1	0	34.1742
3.22007	1	1	0	34.1725
3.22507	1	1	0	34.1708
3.23007	1	1	0	34.1691
3.23507	1	1	0	34.1673
3.24007	1	1	0	34.1656
3.24507	1	1	0	34.1639
3.25007	1	1	0	34.1622
3.25507	1	1	0	34.1604
3.26007	1	1	0	34.1587
3.26507	1	1	0	34.157
3.26607	1	1	0	34.1566
3.27007	1	1	0	34.1553
3.27507	1	1	0	34.1535
3.28007	1	1	0	34.1518
3.28507	1	1	0	34.1501
3.29007	1	1	0	34.1484
3.29507	1	1	0	34.1466
3.30007	1	1	0	34.1449
3.30507	1	1	0	34.1432
3.31007	1	1	0	34.1414
3.31507	1	1	0	34.1397
3.32007	1	1	0	34.138
3.32507	1	1	0	34.1363
3.33007	1	1	0	34.1345
3.33507	1	1	0	34.1328
3.34007	1	1	0	34.1311
3.34507	1	1	0	34.1293
3.34607	1	1	0	34.129
3.35007	1	1	0	34.1276
3.35507	1	1	0	34.1259
3.36007	1	1	0	34.1241
3.36507	1	1	0	34.1224
3.37007	1	1	0	34.1207
3.37507	1	1	0	34.119
3.38007	1	1	0	34.1172
3.38507	1	1	0	34.1155
3.39007	1	1	0	34.1138
3.39507	1	1	0	34.112
3.40007	1	1	0	34.1103
3.40507	1	1	0	34.1086
3.41007	1	1	0	34.1068
3.41507	1	1	0	34.1051
3.42007	1	1	0	34.1034
3.42507	1	1	0	34.1016
3.42607	1	1	0	34.1013
3.43007	1	1	0	34.0999
3.43507	1	1	0	34.0982
3.44007	1	1	0	34.0964
3.44507	1	1	0	34.0947
3.45007	1	1	0	34.093
3.45507	1	1	0	34.0912
3.46007	1	1	0	34.0895
3.46507	1	1	0	34.0878
3.47007	1	1	0	34.086
3.47507	1	1	0	34.0843
3.48007	1	1	0	34.0825
3.48507	1	1	0	34.0808
3.49007	1	1	0	34.0791
3.49507	1	1	0	34.0773
3.50007	1	1	0	34.0756
3.50507	1	1	0	34.0739
3.50607	1	1	0	34.0735
3.51007	1	1	0	34.0721
3.51507	1	1	0	34.0704
3.52007	1	1	0	34.0687
3.52507	1	1	0	34.0669
3.53007	1	1	0	34.0652
3.53507	1	1	0	34.0634
3.54007	1	1	0	34.0617
3.54507	1	1	0	34.06
3.55007	1	1	0	34.0582
3.55507	1	1	0	34.0565
3.56007	1	1	0	34.0547
3.56507	1	1	0	34.053
3.57007	1	1	0	34.0513
3.57507	1	1	0	34.0495
3.58007	1	1	0	34.0478
3.58507	1	1	0	34.046
3.58607	1	1	0	34.0457
3.59007	1	1	0	34.0443
3.59507	1	1	0	34.0426
3.60007	1	1	0	34.0408
3.60507	1	1	0	34.0391
3.61007	1	1	0	34.0373
3.61507	1	1	0	34.0356
3.62007	1	1	0	34.0339
3.62507	1	1	0	34.0321
3.63007	1	1	0	34.0304
3.63507	1	1	0	34.0286
3.64007	1	1	0	34.0269
3.64507	1	1	0	34.0251
3.65007	1	1	0	34.0234
3.65507	1	1	0	34.0217
3.66007	1	1	0	34.0199
3.66507	1	1	0	34.0182
3.66607	1	1	0	34.0178
3.67007	1	1	0	34.0164
3.67507	1	1	0	34.0147
3.68007	1	1	0	34.0129
3.68507	1	1	0	34.0112
3.69007	1	1	0	34.0095
3.69507	1	1	0	34.0077
3.70007	1	1	0	34.006
3.70507	1	1	0	34.0042
3.71007	1	1	0	34.0025
3.71507	1	1	0	34.0007
3.72007	1	1	0	33.999
3.72507	1	1	0	33.9972
3.73007	1	1	0	33.9955
3.73507	1	1	0	33.9937
3.74007	1	1	0	33.992
