Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
8.475	gNB PHY Txed	847	5	0	1	0	0	SIB1
8.48	gNB PHY Txed	848	0	0	1	0	0	MIB
8.485	gNB PHY Txed	848	5	0	1	0	0	SIB1
8.49	gNB PHY Txed	849	0	0	1	0	0	MIB
8.495	gNB PHY Txed	849	5	0	1	0	0	SIB1
8.5	gNB PHY Txed	850	0	0	1	0	0	MIB
8.505	gNB PHY Txed	850	5	0	1	0	0	UL_UCI
8.505	gNB PHY Txed	850	5	0	1	0	0	SIB1
8.51	gNB PHY Txed	851	0	0	1	0	0	MIB
8.51	gNB PHY Txed	851	0	0	1	0	0	UL_UCI
8.515	gNB PHY Txed	851	5	0	1	0	0	SIB1
8.516	gNB PHY Txed	851	6	0	1	0	0	UL_UCI
8.517	gNB PHY Txed	851	7	0	1	0	0	UL_UCI
8.52	gNB PHY Txed	852	0	0	1	0	0	MIB
8.522	gNB PHY Txed	852	2	0	1	0	0	UL_UCI
8.525	gNB PHY Txed	852	5	0	1	0	0	SIB1
8.53	gNB PHY Txed	853	0	0	1	0	0	MIB
8.535	gNB PHY Txed	853	5	0	1	0	0	SIB1
8.54	gNB PHY Txed	854	0	0	1	0	0	MIB
8.545	gNB PHY Txed	854	5	0	1	0	0	SIB1
8.546	gNB PHY Txed	854	6	0	1	0	0	UL_UCI
8.55	gNB PHY Txed	855	0	0	1	0	0	MIB
8.555	gNB PHY Txed	855	5	0	1	0	0	SIB1
8.56	gNB PHY Txed	856	0	0	1	0	0	MIB
8.565	gNB PHY Txed	856	5	0	1	0	0	SIB1
8.57	gNB PHY Txed	857	0	0	1	0	0	MIB
8.575	gNB PHY Txed	857	5	0	1	0	0	SIB1
8.58	gNB PHY Txed	858	0	0	1	0	0	MIB
8.585	gNB PHY Txed	858	5	0	1	0	0	SIB1
8.59	gNB PHY Txed	859	0	0	1	0	0	MIB
8.595	gNB PHY Txed	859	5	0	1	0	0	SIB1
8.6	gNB PHY Txed	860	0	0	1	0	0	MIB
8.605	gNB PHY Txed	860	5	0	1	0	0	SIB1
8.61	gNB PHY Txed	861	0	0	1	0	0	MIB
8.615	gNB PHY Txed	861	5	0	1	0	0	SIB1
8.62	gNB PHY Txed	862	0	0	1	0	0	MIB
8.625	gNB PHY Txed	862	5	0	1	0	0	SIB1
8.626	gNB PHY Txed	862	6	0	1	0	0	UL_UCI
8.63	gNB PHY Txed	863	0	0	1	0	0	MIB
8.635	gNB PHY Txed	863	5	0	1	0	0	SIB1
8.64	gNB PHY Txed	864	0	0	1	0	0	MIB
8.645	gNB PHY Txed	864	5	0	1	0	0	SIB1
8.65	gNB PHY Txed	865	0	0	1	0	0	MIB
8.655	gNB PHY Txed	865	5	0	1	0	0	SIB1
8.66	gNB PHY Txed	866	0	0	1	0	0	MIB
8.665	gNB PHY Txed	866	5	0	1	0	0	SIB1
8.67	gNB PHY Txed	867	0	0	1	0	0	MIB
8.675	gNB PHY Txed	867	5	0	1	0	0	SIB1
8.68	gNB PHY Txed	868	0	0	1	0	0	MIB
8.685	gNB PHY Txed	868	5	0	1	0	0	SIB1
8.69	gNB PHY Txed	869	0	0	1	0	0	MIB
8.695	gNB PHY Txed	869	5	0	1	0	0	SIB1
8.7	gNB PHY Txed	870	0	0	1	0	0	MIB
8.705	gNB PHY Txed	870	5	0	1	0	0	SIB1
8.706	gNB PHY Txed	870	6	0	1	0	0	UL_UCI
8.71	gNB PHY Txed	871	0	0	1	0	0	MIB
8.715	gNB PHY Txed	871	5	0	1	0	0	SIB1
8.72	gNB PHY Txed	872	0	0	1	0	0	MIB
8.725	gNB PHY Txed	872	5	0	1	0	0	SIB1
8.73	gNB PHY Txed	873	0	0	1	0	0	MIB
8.735	gNB PHY Txed	873	5	0	1	0	0	SIB1
8.74	gNB PHY Txed	874	0	0	1	0	0	MIB
8.745	gNB PHY Txed	874	5	0	1	0	0	SIB1
8.75	gNB PHY Txed	875	0	0	1	0	0	MIB
8.755	gNB PHY Txed	875	5	0	1	0	0	SIB1
8.76	gNB PHY Txed	876	0	0	1	0	0	MIB
8.765	gNB PHY Txed	876	5	0	1	0	0	SIB1
8.77	gNB PHY Txed	877	0	0	1	0	0	MIB
8.775	gNB PHY Txed	877	5	0	1	0	0	SIB1
8.78	gNB PHY Txed	878	0	0	1	0	0	MIB
