Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
18.3089	1	0	1	-92.8449
18.3889	1	0	1	-92.8177
18.4689	1	0	1	-92.7906
18.5029	1	0	1	-92.7791
18.5079	1	0	1	-92.7774
18.5131	1	0	1	-92.7756
18.5489	1	0	1	-92.7636
18.6289	1	0	1	-92.7366
18.7089	1	0	1	-92.7097
18.7889	1	0	1	-92.6829
18.8689	1	0	1	-92.6562
18.9489	1	0	1	-92.6295
19.0289	1	0	1	-92.6028
19.1089	1	0	1	-92.5763
19.1889	1	0	1	-92.5498
19.2689	1	0	1	-92.5234
19.3489	1	0	1	-92.4971
19.4289	1	0	1	-92.4709
19.5089	1	0	1	-92.4447
19.5889	1	0	1	-92.4186
19.6689	1	0	1	-92.3926
19.7489	1	0	1	-92.3666
19.8289	1	0	1	-92.3408
19.9089	1	0	1	-92.315
19.9889	1	0	1	-92.2893
